food_galmat_1.9.Ajoblanco,hasMainIngredients,food_galmat_1.9.OliveOil,-0.198,None
food_galmat_1.9.Ajoblanco,hasMainIngredients,food_galmat_1.9.Garlic,-0.198,None
food_galmat_1.9.Ajoblanco,hasMainIngredients,food_galmat_1.9.Bread,-0.198,None
food_galmat_1.9.Ajoblanco,hasMainIngredients,food_galmat_1.9.Almonds,-0.198,None
food_galmat_1.9.Ajoblanco,hasMainIngredients,food_galmat_1.9.Water,-0.198,None
food_galmat_1.9.Ajoblanco,hasIngredient,food_galmat_1.9.Almond,-0.198,None
food_galmat_1.9.Ajoblanco,hasIngredient,food_galmat_1.9.Bread,-0.198,None
food_galmat_1.9.Ajoblanco,hasIngredient,food_galmat_1.9.Water,-0.198,None
food_galmat_1.9.Ajoblanco,isEatenInCountry,food_galmat_1.9.Spain,-0.198,-0.079
food_galmat_1.9.Ajoblanco,isEatenInRegion,food_galmat_1.9.Andalusia,-0.198,None
food_galmat_1.9.Ajoblanco,hasAlternativeName,food_galmat_1.9.AjoBlanco,-0.198,None
food_galmat_1.9.Bhajji,hasMainIngredients,food_galmat_1.9.Vegetables,0.698,None
food_galmat_1.9.Bhajji,hasMainIngredients,food_galmat_1.9.GramFlour,0.698,None
food_galmat_1.9.Bhajji,hasIngredient,food_galmat_1.9.GramFlour,0.698,None
food_galmat_1.9.Bhajji,isEatenInCountry,food_galmat_1.9.India,0.698,None
food_galmat_1.9.Bhajji,isEatenInRegion,food_galmat_1.9.Karnataka,0.698,None
food_galmat_1.9.Bhajji,hasAlternativeName,food_galmat_1.9.Bhaji,0.698,None
food_galmat_1.9.Bhajji,hasAlternativeName,food_galmat_1.9.Bajji,0.698,None
food_galmat_1.9.Bhajji,SimilarDish,food_galmat_1.9.OtherFrittersMadeFromWheatOrCornFlour,0.698,None
food_galmat_1.9.Bhajji,SimilarDish,food_galmat_1.9.Pakora,0.698,None
food_galmat_1.9.BaconExplosion,hasMainIngredients,food_galmat_1.9.Sausage,0.198,None
food_galmat_1.9.BaconExplosion,hasMainIngredients,food_galmat_1.9.Bacon,0.198,None
food_galmat_1.9.BaconExplosion,hasIngredient,food_galmat_1.9.Sausage,0.198,None
food_galmat_1.9.BaconExplosion,hasIngredient,food_galmat_1.9.Bacon,0.198,None
food_galmat_1.9.BaconExplosion,isEatenInCountry,food_galmat_1.9.UnitedStates,0.198,0.079
food_galmat_1.9.BaconExplosion,isEatenInRegion,food_galmat_1.9.KansasCityMetropolitanArea,0.198,None
food_galmat_1.9.BaconExplosion,course,food_galmat_1.9.MainCourse,0.198,None
